Name,Brand,Category,Color,Location,Width,Depth,Height,Price,Link
Hamilton Leather Sofa,West Elm,Sofa,Burnt Sienna,Living Room,70.0,35.8,31.5,2499.0,https://www.westelm.com/products/hamilton-sofa-h848/
Hamilton Leather Ottoman,West Elm,Chair,Burnt Sienna,Living Room,30.0,35.0,32.0,1319.0,https://www.westelm.com/products/hamilton-leather-chair-h4580/?cm_src=WsiAitc&recstrat=AITC%7CAITC-GRP-AFF-QNT
Hamilton Leather Chair,West Elm,Ottoman,Burnt Sienna,Living Room,35.5,35.5,19.5,1099.0,https://www.westelm.com/products/hamilton-leather-ottoman-h5311/?pkey=s~hamilton%20ottoman~1
LOMMARP,Ikea,Bookcase,Black,Living Room,25.0,13.0,78.0,179.0,https://www.ikea.com/us/en/p/lommarp-bookcase-black-30508525/#content
Baja Natural Rectangular,Crate&Barrel,Coffee Table,Grey Oak,Living Room,54.0,26.0,18.0,799.0,https://www.crateandbarrel.com/baja-grey-rectangular-coffee-table/s422831
"Annie 73"" Natural Storage Media Credenza by Leanne Ford",Crate&Barrel,TV Stand,Brown,Living Room,72.0,18.0,26.5,1999.0,https://www.crateandbarrel.com/annie-73-natural-storage-media-credenza-by-leanne-ford/s503235
Calypso Large Two-Toned Charcoal Elm Wood Storage Cabinet,Crate&Barrel,Storage,Black,Living Room,54.0,20.16,80.0,3199.0,https://www.crateandbarrel.com/calypso-large-two-toned-charcoal-elm-wood-storage-cabinet/s600225
Natural Woven Jute And Cotton Reversible Area Rug,World Market,Rug,Khaki,Living Room,8.0,10.0,0.5,199.99,https://www.worldmarket.com/product/natural-woven-jute-and-cotton-reversible-rug.do?sortby=ourPicks&from=fn
Rialto Ivory Storage Bench,CB2,Bench,Dover,Living Room,60.0,19.5,18.5,1128.0,https://www.cb2.com/rialto-ivory-storage-bench/s125854
Overarching Linen Shade Floor Lamp,West Elm,Lighting,Antique Brass,Living Room,58.0,19.0,79.0,399.0,https://www.westelm.com/products/overarching-linen-shade-floor-lamp-w3394/?pkey=cliving-room-lighting
