Name,Brand,Category,Color,Location,Width,Depth,Height,Price,Link
Hamilton Leather Ottoman,West Elm,Chair,Burnt Sienna,Living Room,30.0,35.0,32.0,1319.0,https://www.westelm.com/products/hamilton-leather-chair-h4580/?cm_src=WsiAitc&recstrat=AITC%7CAITC-GRP-AFF-QNT
Hamilton Leather Chair,West Elm,Ottoman,Burnt Sienna,Living Room,35.5,35.5,19.5,1099.0,https://www.westelm.com/products/hamilton-leather-ottoman-h5311/?pkey=s~hamilton%20ottoman~1
Morgan Barrelback Slope Arm,Restoration Hardware,Dining Chair,White,Dining Room,22.5,23.0,31.5,970.0,https://rh.com/catalog/product/product.jsp?productId=prod17510078
Urban Park,Northridge Home,Nightstand,Brown,Bedroom,28.0,18.0,29.0,499.0,https://www.costco.com/urban-park-nightstand.product.100653452.html
Palisades All Weather Wicker,World Market,Outdoor Chair,White,Backyard,29.1,32.3,35.4,1080.0,https://www.worldmarket.com/product/palisades+all+weather+wicker+outdoor+chair.do?sortby=ourPicksAscend&from=fn
Natural Woven Jute And Cotton Reversible Area Rug,World Market,Rug,Khaki,Living Room,8.0,10.0,0.5,199.99,https://www.worldmarket.com/product/natural-woven-jute-and-cotton-reversible-rug.do?sortby=ourPicks&from=fn
Wilde,CB2,Table Lamp,Blackend Brass,Office,11.37,5.37,20.0,349.0,https://www.cb2.com/wilde-blackend-brass-task-table-lamp/s305933
Gabe Gold Tufted Low-Back,CB2,Counter Stool,Gold,Kitchen,17.75,18.5,29.75,429.0,https://www.cb2.com/gabe-gold-tufted-low-back-counter-stool/s677237
Radius Ficonstone Large,West Elm,Outdoor Planters,Alabaster,Backyard,21.7,21.7,22.4,279.0,https://www.westelm.com/products/radius-planters-d2957/?pkey=call-planters-terrariums
Colca Wool Rug,West Elm,Rug,Flax,Bedroom,10.0,14.0,0.5,1399.0,https://www.westelm.com/products/colca-wool-rug-t1657/?pkey=cwool-rugs
